ProNr,Alternativ,År,Trafikantnytte,Kjøretøykostnader,Direkteutgifter,Tidskostnader,Nyskapt,Ulempeskostnader,Helsevirkninger,Utrygghetskostnader,Operatørkostnader,Operatørinntekter,Operatøroverføringer,Drift_vedlikehold,Offentlige_overføringer,Skatte_avgiftsinntekter,Ulykker,Støy_luft,Andre_kostnader,Skattekostnad
1,0,2057,,-3912.3711,-404.54465,-9136.2207,0,-0,0,-0,-604.09802,362.45883,241.63921,-313.54556,-241.63921,281.0101,-775.33942,-333.70419,-0,-54.834949
1,0,2058,,-3802.4138,-396.38605,-8945.6514,0,-0,0,-0,-591.91498,355.14899,236.76599,-302.54108,-236.76599,271.00211,-738.18665,-330.73816,-0,-53.661007
1,0,2059,,-3696.1428,-388.39142,-8759.332,0,-0,0,-0,-579.97675,347.98605,231.99069,-291.93076,-231.99069,261.49203,-702.88873,-328.12408,-0,-52.485893
1,0,2060,,-3593.4089,-380.55743,-8577.1709,0,-0,0,-0,-568.27844,340.96707,227.31137,-281.70029,-227.31137,252.44366,-669.35016,-325.63885,-0,-51.31361
1,0,2061,,-3499.6077,-372.86243,-8397.3584,0,-0,0,-0,-556.78766,334.0726,222.71506,-271.83447,-222.71506,246.08728,-637.46826,-326.30566,-0,-49.692463
1,0,2062,,-3408.4451,-365.2916,-8220.9971,0,-0,0,-0,-545.48224,327.28937,218.1929,-262.3172,-218.1929,239.88762,-607.13525,-327.14792,-0,-48.124508
1,0,2063,,-3319.7083,-357.82333,-8047.5801,0,-0,0,-0,-534.33008,320.59805,213.73203,-253.13326,-213.73203,233.83086,-578.25256,-328.13348,-0,-46.606895
1,0,2064,,-3233.1985,-350.43808,-7876.644,0,-0,0,-0,-523.30188,313.98111,209.32074,-244.26816,-209.32074,227.90439,-550.72974,-326.93723,-0,-45.136913
1,0,2065,,-3148.7314,-343.11829,-7707.7676,0,-0,0,-0,-512.37134,307.42279,204.94853,-235.70827,-204.94853,222.09665,-524.48431,-325.85178,-0,-43.71204
1,0,2066,,-3066.1367,-335.84836,-7540.5723,0,-0,0,-0,-501.51532,300.90918,200.60612,-227.4407,-200.60612,216.3972,-499.44098,-324.7847,-0,-42.329937
1,0,2067,,-2985.2576,-328.61475,-7374.7217,0,-0,0,-0,-490.7135,294.4281,196.2854,-219.45322,-196.2854,210.79674,-475.53082,-323.71329,-0,-40.988384
2,0,2029,,-22433.367,-1664.5269,-39800.492,0,-0,0,-0,-2476.9753,1486.1853,990.79016,-819.56128,-990.79016,3662.7971,-6474.5571,-2069.3601,-0,370.48923
2,0,2030,,-21644.82,-1637.0664,-39074.449,0,-0,0,-0,-2436.1116,1461.667,974.44464,-789.26624,-974.44464,3370.9233,-6165.6113,-2096.7786,-0,321.4426
2,0,2031,,-20866.014,-1600.2971,-38381.289,0,-0,0,-0,-2381.3955,1428.8373,952.55817,-760.35828,-952.55817,3082.989,-5881.6152,-1930.287,-0,274.01462
2,0,2032,,-20122.572,-1564.0333,-37702.594,0,-0,0,-0,-2327.4314,1396.4589,930.9726,-732.52197,-930.9726,2819.1191,-5611.1089,-1775.4135,-0,231.12495
2,0,2033,,-19413.488,-1528.4103,-37037.875,0,-0,0,-0,-2274.4209,1364.6526,909.76837,-705.7171,-909.76837,2578.2437,-5353.4385,-1631.5295,-0,192.5517
2,0,2034,,-18739.156,-1493.74,-36386.684,0,-0,0,-0,-2222.8281,1333.6969,889.13129,-679.90521,-889.13129,2364.5374,-5107.9829,-1505.5149,-0,159.10019
2,0,2035,,-18098.4,-1459.8008,-35748.902,0,-0,0,-0,-2172.3235,1303.3942,868.92938,-655.04907,-868.92938,2171.4126,-4874.1504,-1389.3184,-0,129.48686
2,0,2036,,-17493.109,-1426.8564,-35122.137,0,-0,0,-0,-2123.2993,1273.9795,849.3197,-631.11304,-849.3197,1997.7716,-4651.3794,-1283.7821,-0,103.4678
2,0,2037,,-16917.207,-1394.5035,-34505.129,0,-0,0,-0,-2075.155,1245.093,830.06201,-608.06268,-830.06201,1841.0178,-4439.1343,-1187.39,-0,80.578636
2,0,2038,,-16370.309,-1362.842,-33897.758,0,-0,0,-0,-2028.0397,1216.8239,811.21588,-585.86493,-811.21588,1699.7408,-4236.9072,-1099.9601,-0,60.532032
2,0,2039,,-15849.234,-1331.8986,-33300.441,0,-0,0,-0,-1981.9927,1189.1957,792.79706,-564.48792,-792.79706,1572.3298,-4044.2146,-1020.369,-0,43.008984
2,0,2040,,-15371.195,-1301.8091,-32713.924,0,-0,0,-0,-1937.2167,1162.33,774.88666,-543.901,-774.88666,1474.9886,-3860.5967,-956.02008,-0,31.240206
2,0,2041,,-14920.834,-1272.2775,-32136.541,0,-0,0,-0,-1893.2708,1135.9625,757.30835,-524.07471,-757.30835,1392.7833,-3685.616,-900.14252,-0,22.28006
2,0,2042,,-14490.559,-1243.3031,-31566.742,0,-0,0,-0,-1850.1543,1110.0925,740.06171,-504.98068,-740.06171,1319.7115,-3518.8569,-849.79114,-0,14.933829
2,0,2043,,-14078.173,-1215.08,-31006.408,0,-0,0,-0,-1808.1554,1084.8932,723.26215,-486.59155,-723.26215,1253.3953,-3359.9233,-803.83527,-0,8.7083149
2,0,2044,,-13682.194,-1187.5027,-30455.918,0,-0,0,-0,-1767.1179,1060.2708,706.84717,-468.88104,-706.84717,1192.5778,-3208.4395,-761.55896,-0,3.3699105
2,0,2045,,-13300.356,-1160.5781,-29915.158,0,-0,0,-0,-1727.0515,1036.231,690.82062,-451.82385,-690.82062,1136.4004,-3064.0474,-722.54718,-0,-1.2488163
2,0,2046,,-12931.604,-1134.1868,-29384.363,0,-0,0,-0,-1687.7786,1012.6671,675.11139,-438.03241,-675.11139,1084.3942,-2926.4062,-686.48944,-0,-5.749928
2,0,2047,,-12577.566,-1108.5532,-28862.824,0,-0,0,-0,-1649.6334,989.78009,659.85339,-422.11154,-659.85339,1036.1881,-2795.1924,-653.12512,-0,-9.1553736
2,0,2048,,-12235.187,-1083.0878,-28349.967,0,-0,0,-0,-1611.7384,967.04303,644.69531,-406.77737,-644.69531,991.3595,-2670.0981,-622.16913,-0,-12.022635
2,0,2049,,-11904.528,-1058.5923,-27846.711,0,-0,0,-0,-1575.2867,945.17206,630.11475,-392.00803,-630.11475,949.55103,-2550.8301,-593.41565,-0,-14.514359
2,0,2050,,-11584.959,-1034.6887,-27352.867,0,-0,0,-0,-1539.7161,923.82965,615.88641,-377.78247,-615.88641,910.46863,-2437.1099,-566.70581,-0,-16.640055
2,0,2051,,-11276.179,-1011.355,-26867.604,0,-0,0,-0,-1504.993,902.99585,601.99725,-364.08047,-601.99725,873.94611,-2328.6721,-541.83203,-0,-18.426329
2,0,2052,,-10977.208,-988.52692,-26391.479,0,-0,0,-0,-1471.0227,882.61365,588.40912,-350.88254,-588.40912,839.55731,-2225.2649,-518.54913,-0,-19.946873
2,0,2053,,-10688.506,-966.29175,-25925.189,0,-0,0,-0,-1437.9347,862.7608,575.17389,-338.16992,-575.17389,807.4505,-2126.6477,-497.00665,-0,-21.178667
2,0,2054,,-10408.167,-944.52802,-25467.266,0,-0,0,-0,-1405.5482,843.32892,562.2193,-325.92462,-562.2193,776.93896,-2032.5927,-489.63583,-0,-22.240997
2,0,2055,,-10136.857,-923.23291,-25017.336,0,-0,0,-0,-1373.859,824.31543,549.54358,-314.12921,-549.54358,748.24731,-1942.882,-488.35666,-0,-23.0851
2,0,2056,,-9873.7822,-902.4726,-24576.914,0,-0,0,-0,-1342.9657,805.77942,537.18628,-302.767,-537.18628,720.9165,-1857.3096,-487.1936,-0,-23.80736
2,0,2057,,-9617.8828,-882.2395,-24145.711,0,-0,0,-0,-1312.8569,787.71417,525.14276,-291.8219,-525.14276,694.97968,-1775.6786,-486.46582,-0,-24.397003
2,0,2058,,-9369.5635,-862.4646,-23723.061,0,-0,0,-0,-1283.4301,770.05798,513.37201,-281.27841,-513.37201,670.42749,-1697.8016,-486.16806,-0,-24.844593
2,0,2059,,-9128.9629,-843.12628,-23308.303,0,-0,0,-0,-1254.6527,752.79163,501.86108,-271.12161,-501.86108,647.10175,-1623.5009,-486.4386,-0,-25.176197
2,0,2060,,-8896.1396,-824.30884,-22902.695,0,-0,0,-0,-1226.6505,735.9903,490.66022,-261.33719,-490.66022,624.86444,-1552.6068,-486.75089,-0,-25.4266
